
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
917	556	577	655
918	190	210	272
919	226	209	269
920	675	654	761
921	286	358	410
922	746	805	954
923	821	798	899
924	712	733	797
925	356	379	403
926	184	251	314
927	320	299	386
928	41	18	64
929	18	42	100
930	955	933	993
931	573	552	660
932	142	121	224
933	900	881	968
934	170	191	256
935	311	290	373
936	474	455	539
937	245	264	334
938	532	513	550
939	643	664	726
940	1019	998	76
941	964	943	87
942	940	918	1026
943	568	543	627
944	954	933	18
945	964	985	42
946	271	315	386
947	663	682	728
948	256	277	343
949	983	962	42
950	370	351	315
951	192	247	328
952	577	558	675
953	723	746	764
954	93	112	181
955	297	318	385
956	590	625	609
957	211	190	276
958	1204	1224	9
959	327	345	416
960	1006	983	37
961	949	929	1011
962	221	200	306
963	958	981	1020
964	885	867	902
965	905	936	963
966	229	208	321
967	80	99	116
968	428	450	540
969	571	595	657
970	936	915	998
971	530	509	598
972	368	425	496
973	999	41	112
974	1080	1096	1064
975	209	262	335
976	395	416	432
977	410	431	519
978	891	869	956
979	197	176	258
980	465	448	426
981	123	142	160
982	807	864	935
983	170	221	291
984	630	608	696
985	232	276	262
986	549	528	611
987	669	720	789
988	108	129	217
989	337	360	422
990	74	96	160
991	483	460	503
992	532	553	619
993	925	965	28
994	546	598	668
995	68	123	196
996	770	749	853
997	690	671	759
998	666	644	754
999	711	761	831
