
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
920	355	326	343
921	359	373	385
922	112	136	126
923	879	891	865
924	648	662	674
925	512	485	500
926	84	108	98
927	164	178	190
928	522	548	538
929	863	877	889
930	765	779	751
931	301	319	332
932	24	46	38
933	426	410	440
934	298	321	311
935	711	699	685
936	716	730	741
937	288	275	300
938	819	833	844
939	971	957	985
940	1002	1016	7
941	521	533	544
942	983	956	973
943	398	422	414
944	495	480	509
945	949	975	965
946	349	322	337
947	590	616	606
948	159	143	173
949	376	388	400
950	521	548	536
951	496	520	510
952	267	253	237
953	63	76	90
954	528	540	552
955	574	586	560
956	863	887	877
957	16	30	41
958	673	685	699
959	626	615	601
960	432	456	446
961	956	968	943
962	367	381	393
963	560	590	576
964	822	836	848
965	186	158	174
966	735	748	760
967	2619	2645	2635
968	250	236	222
969	783	796	808
970	1007	995	979
971	665	679	690
972	565	553	538
973	888	900	912
974	37	49	61
975	280	268	255
976	286	310	300
977	27	41	53
978	553	578	568
979	500	524	514
980	985	973	961
981	700	726	716
982	866	880	850
983	1030	1007	1022
984	113	139	129
985	387	371	400
986	706	730	720
987	501	511	487
988	582	596	608
989	360	372	342
990	459	473	485
991	94	68	82
992	279	305	293
993	946	931	960
994	79	65	91
995	461	484	474
996	863	833	851
997	845	859	872
998	773	787	799
999	434	448	460
