
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
529	17	27	5
530	28	18	6
531	28	6	20
532	5	33	23
533	5	27	19
534	3	15150	8
535	18	30	6
536	21	31	5
537	17	27	5
538	21	31	7
539	20820	3	8
540	19	29	7
541	17	3	27
542	15888	3	3
543	3	17	27
544	28	18	6
545	3	7	8392
546	5	17	29
547	16	3	28
548	5	17	29
549	20	30	5
550	7074	3	7
551	20	30	6
552	12191	3	3
553	5	17	29
554	32	22	7
555	21	7	35
556	13938	3	7
557	27	5	19
558	28	6	20
559	21	31	9
560	35	7	23
561	3	7	22552
562	6	18	30
563	27	5	19
564	17	3	27
565	18	30	8
566	36	22	7
567	5	28	18
568	5	20	32
569	4	20	30
570	27	17	5
571	3	3	22276
572	18	28	7
573	18	6	30
574	17	5	29
575	28	7	18
576	17	5	28
577	4	18	30
578	24	34	8
579	4233	3	3
580	19	5	31
581	19	30	7
582	5	31	21
583	17	27	5
584	30	20	4
585	3	17666	7
586	17	27	5
587	4977	3	7
588	5	19	29
589	7	31	21
590	27	17	5
591	32	7	22
592	31	7	21
593	23	47	37
594	26	4	16
595	18	6	30
596	25	15	5
597	29	19	5
598	31	5	21
599	32	44	7
600	18	33	8
601	7	21	31
602	5	17	29
603	9575	3	3
604	14	3	26
605	7	30	20
606	17	27	5
607	7	31	21
608	5	31	21
609	29	5	19
610	28	6	20
611	29	5	19
612	19	5	31
613	15	27	5
614	14758	7	3
615	34	22	45
616	17	27	5
617	16	3	7
618	19	7	29
619	17	29	5
620	5	17	29
621	3	27	17
622	32	7	22
623	32	22	10
624	5	29	19
625	5	17	31
626	8	17413	3
627	6	30	20
628	7	31	21
629	25	3	17
630	28	7	18
631	7	30	20
632	7	33	23
633	3	7	4548
634	29	7	19
635	19	31	9
636	14	32	44
637	5	27	19
638	3	3	15976
639	15	3	29
640	7	21862	3
641	5	27	17
642	19	7	32
643	7	21148	3
644	31	19	7
645	5	29	19
646	12611	3	8
647	31	21	9
648	17	5	29
649	22	6	34
650	18	28	7
651	79	91	103
652	29	7	21
653	5	28	18
654	7	29	21
655	17	27	5
656	17	27	5
657	8	11188	3
658	3	29	19
659	32	7	24
660	27	17	5
661	3	20385	7
662	17	3	27
663	19	29	7
664	20	5	32
665	3	17	29
666	161	3	8047
667	16	3	26
668	5	19	30
669	3	26	16
670	29	5	19
671	4	16	28
672	23	33	7
673	9	33	23
674	3	7	14251
675	27	17	5
676	5	29	19
677	31	7	21
678	21	5	30
679	17	5	29
680	18	28	4
681	7	31	21
682	5	29	19
683	6	28	20
684	29	19	7
685	29	17	7
686	27	17	5
687	7	4507	3
688	26	4	18
689	6	28	20
690	27	5	17
691	3	17	29
692	28	7	20
693	3	27	17
694	17	5	29
695	32	6	22
696	30	18	7
697	28	5	20
698	95	123	113
699	7	31	21
700	3	17	29
701	5	19	29
702	3	27	17
703	17	3	27
704	19	29	7
705	21	5	33
706	5	21	32
707	3	5353	8
708	19	3	30
709	28	18	7
710	17	29	5
711	18	28	6
712	7	30	20
