
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
784	50	7	28
785	29	51	9
786	52	10	32
787	7	28	50
788	52	9	30
789	11	31	54
790	9	31	53
791	49	7	29
792	27	49	7
793	31	53	11
794	31	51	9
795	5	25	49
796	53	11	33
797	31	51	11
798	25	47	5
799	7	29	51
800	7	29	51
801	25	45	3
802	5	25	47
803	9	31	53
804	27	49	7
805	9	31	54
806	49	5	27
807	30	52	10
808	46	4	26
809	5	27	49
810	52	11	32
811	51	9	31
812	3	25	47
813	28	50	8
814	56	11	36
815	3	25	47
816	30	52	10
817	28	50	8
818	7	29	50
819	51	9	31
820	11	33	55
821	45	3	25
822	52	10	32
823	11	33	55
824	45	3	25
825	47	3	25
826	49	5	27
827	50	7	30
828	27	49	7
829	29	55	9
830	8	28	52
831	5	26	48
832	27	49	7
833	3	24	46
834	53	9	33
835	49	7	29
836	24	46	4
837	47	5	27
838	46	3	25
839	24	46	4
840	5	31	58
841	31	53	11
842	5	27	49
843	3	25	47
844	52	8	32
845	49	7	29
846	49	5	29
847	47	3	27
848	3	25	47
849	53	9	31
850	46	3	26
851	25	47	5
852	8	30	52
853	47	5	27
854	29	51	9
855	5	27	49
856	5	25	47
857	9	31	53
858	47	3	27
859	5	27	49
860	8	30	52
861	45	3	25
862	31	53	11
863	53	9	31
864	25	45	3
865	3	25	47
866	47	5	27
867	7	29	51
868	3	25	47
869	31	53	11
870	7	27	49
871	7	29	55
872	5	27	49
873	6	28	50
874	52	9	30
875	28	48	6
876	3	25	47
877	5	26	48
878	3	25	47
879	3	25	47
880	7	29	51
881	8	30	52
882	49	7	29
883	25	47	5
884	48	6	28
885	49	7	29
886	3	25	46
887	3	25	47
888	33	53	11
889	5	25	49
890	51	9	31
891	6	28	50
892	25	45	3
893	47	3	25
894	47	3	25
895	25	47	5
896	27	49	7
897	51	7	31
898	7	29	51
899	11	33	55
900	3	25	47
901	7	29	51
902	11	31	54
903	7	29	51
904	9	30	52
905	7	27	51
906	51	7	29
907	26	48	6
908	47	5	27
909	5	25	47
910	8	30	52
911	5	27	49
912	47	5	27
913	5	27	49
914	9	29	53
915	52	9	31
916	31	51	9
917	9	29	52
918	50	7	30
919	28	48	6
920	47	3	27
921	28	50	8
922	46	4	26
923	5	27	49
924	9	31	53
925	31	53	11
926	30	50	8
927	51	7	29
928	25	47	5
929	9	31	53
930	9	31	53
931	31	52	11
932	3	25	47
933	45	3	25
934	29	49	7
935	53	11	33
936	27	47	5
937	51	7	31
938	25	47	5
939	52	8	32
940	50	8	30
941	3	25	47
942	47	5	27
943	7	29	51
944	52	10	32
945	49	7	29
946	44	3	24
947	29	51	9
948	27	49	7
949	31	53	11
950	28	48	6
951	28	50	8
952	45	3	25
953	47	5	27
954	9	31	53
955	8	30	52
956	52	9	30
957	25	47	5
958	6	28	50
959	33	53	11
960	7	29	51
961	33	53	11
962	31	53	11
963	46	5	26
964	6	28	50
965	51	7	29
966	8	30	52
967	29	49	7
968	51	9	31
969	27	49	7
970	26	46	6
971	25	47	5
972	11	31	53
973	27	49	7
974	27	49	7
975	27	48	7
976	50	8	30
977	5	26	48
978	28	48	6
979	7	27	51
980	47	5	27
981	5	27	49
982	50	8	30
983	49	5	27
984	44	3	24
985	49	5	27
986	31	52	11
987	53	11	33
988	9	31	53
989	3	24	46
990	49	7	29
991	30	52	10
992	29	49	7
993	50	9	30
994	50	8	30
995	49	5	27
996	30	50	8
997	28	48	6
998	25	47	5
999	48	7	28
