
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
650	52	8	30
651	47	3	27
652	50	8	30
653	26	48	6
654	5	25	49
655	25	45	3
656	3	25	47
657	50	6	30
658	10	30	54
659	26	48	6
660	27	53	7
661	25	45	3
662	31	53	11
663	7	33	54
664	8	30	52
665	7	29	51
666	26	48	6
667	7	29	51
668	32	52	10
669	29	51	9
670	31	53	11
671	11	33	54
672	7	29	51
673	27	49	7
674	53	11	33
675	30	52	10
676	25	47	5
677	28	48	6
678	3	25	47
679	6	28	50
680	9	31	52
681	5	25	47
682	25	47	5
683	51	7	29
684	47	5	27
685	30	52	10
686	49	7	29
687	31	52	11
688	27	48	7
689	32	52	11
690	5	27	48
691	11	31	54
692	51	7	29
693	27	47	5
694	30	52	10
695	27	49	7
696	7	27	49
697	51	7	31
698	25	45	5
699	47	5	27
700	7	28	50
701	46	5	26
702	30	50	8
703	25	47	5
704	51	9	31
705	8	30	52
706	27	49	7
707	3	24	46
708	51	7	29
709	32	52	10
710	53	9	33
711	27	49	7
712	7	29	51
713	51	7	31
714	7	29	51
715	29	51	9
716	50	8	30
717	5	27	49
718	28	48	6
719	7	27	49
720	7	27	51
721	29	51	9
722	6	26	48
723	3	25	50
724	27	49	7
725	47	5	27
726	52	10	32
727	49	7	29
728	27	48	7
729	5	25	47
730	10	30	54
731	51	9	31
732	47	3	25
733	27	47	5
734	48	6	28
735	47	5	27
736	53	3	29
737	7	27	48
738	8	30	52
739	7	29	51
740	50	7	29
741	49	7	29
742	30	52	10
743	5	27	49
744	5	25	46
745	9	33	56
746	6	28	50
747	3	25	47
748	27	47	5
749	25	47	5
750	47	5	27
751	30	50	8
752	7	27	51
753	51	9	31
754	31	53	5
755	8	30	52
756	30	50	8
757	27	49	7
758	49	7	29
759	6	28	50
760	44	3	24
761	27	47	7
762	7	29	50
763	31	51	9
764	49	7	29
765	29	51	9
766	47	5	27
767	26	46	5
768	25	47	5
769	8	30	52
770	50	6	28
771	9	29	53
772	52	10	32
773	10	30	54
774	5	25	49
775	27	49	7
776	30	52	10
777	5	27	48
778	9	30	52
779	24	44	4
780	5	26	48
781	5	27	49
782	30	52	10
783	49	7	29
784	9	31	53
785	25	45	3
786	4	26	48
787	5	27	48
788	51	9	31
789	25	46	5
790	46	4	26
791	9	31	53
792	51	7	29
793	50	7	28
794	52	6	32
795	7	27	48
796	3	24	52
797	24	46	4
798	48	6	28
799	47	3	27
800	24	46	4
801	5	25	47
802	29	51	9
803	49	7	29
804	3	25	47
805	9	29	53
806	50	9	30
807	34	56	14
808	27	49	7
809	5	27	49
810	27	49	7
811	50	8	30
812	7	29	51
813	7	29	51
814	25	45	5
815	5	27	49
816	30	50	9
817	27	48	7
818	29	51	9
819	9	31	53
820	10	32	54
821	50	9	30
822	7	29	51
823	30	52	10
824	5	27	49
825	48	6	28
826	51	9	31
827	9	31	53
828	3	25	47
829	5	27	49
830	47	3	25
831	47	3	27
832	31	53	11
833	5	26	86
834	26	46	5
835	29	49	7
836	51	7	31
837	46	3	26
838	52	9	32
839	7	29	51
840	5	27	49
841	52	10	32
842	30	50	10
843	26	48	6
844	31	51	5
845	30	52	10
846	3	25	47
847	48	7	28
848	49	5	29
849	9	31	53
850	9	31	53
851	7	29	51
852	4	26	48
853	27	47	5
854	50	6	28
855	7	29	51
856	31	52	11
857	25	47	5
858	46	5	26
859	49	7	29
860	28	48	7
861	49	7	29
862	28	48	8
863	30	50	9
864	50	6	28
865	46	4	26
866	28	48	7
867	6	26	50
868	10	32	54
869	51	7	31
870	50	8	30
871	7	29	51
872	27	49	7
873	27	49	7
874	3	25	46
875	50	8	30
876	25	45	3
877	30	52	10
878	46	3	26
879	27	49	7
880	7	29	51
881	4	26	48
882	7	27	49
883	10	32	54
884	48	4	28
885	50	7	30
886	25	47	5
887	8	30	52
888	9	31	53
889	25	47	5
890	25	45	3
891	29	51	9
892	8	30	52
893	50	8	30
894	11	33	55
895	29	49	7
896	48	5	28
897	51	9	31
898	50	8	30
899	48	3	26
900	10	30	54
901	49	7	29
902	29	51	9
903	51	7	31
904	53	9	33
905	6	28	50
906	30	52	10
907	5	26	48
908	28	50	8
909	31	52	11
910	3	24	46
911	29	49	7
912	31	51	9
913	7	29	51
914	6	26	50
915	47	5	27
916	49	7	29
917	56	9	36
918	29	49	7
919	30	50	8
920	28	50	8
921	51	9	31
922	30	52	10
923	27	47	7
924	46	5	26
925	56	9	31
926	3	25	47
927	53	5	29
928	4	26	48
929	8	30	52
930	8	30	52
931	5	25	48
932	49	5	29
933	46	3	26
934	28	48	8
935	46	3	25
936	47	3	27
937	47	3	25
938	7	29	51
939	27	47	5
940	45	3	25
941	29	51	9
942	51	9	31
943	9	31	52
944	3	25	47
945	49	7	29
946	45	3	25
947	29	49	7
948	45	3	25
949	7	27	49
950	9	31	53
951	47	3	27
952	27	47	5
953	27	47	5
954	52	8	30
955	9	29	52
956	53	9	31
957	51	9	31
958	9	30	52
959	29	51	9
960	3	25	47
961	10	30	52
962	31	52	11
963	25	47	5
964	25	47	5
965	47	5	27
966	11	31	53
967	49	5	29
968	48	6	28
969	26	48	6
970	25	47	5
971	27	49	7
972	48	6	28
973	5	27	48
974	9	31	52
975	7	29	51
976	27	48	7
977	5	25	48
978	8	28	52
979	49	7	29
980	27	48	7
981	5	27	49
982	49	5	29
983	28	50	8
984	31	54	5
985	50	7	30
986	7	29	51
987	30	52	10
988	52	8	30
989	47	5	27
990	11	31	54
991	45	3	25
992	7	29	51
993	47	5	27
994	49	7	29
995	29	50	9
996	29	49	9
997	53	9	31
998	9	30	52
999	51	9	31
